bonus,"Bonus"
card_button,"Deposit"
card_description,"It has long been found that when evaluating design and composition, readable text interferes with"
account_id,"Account ID"
sum,"Sum"
signup_helper,"Don't have an account?"
signup_link,"Register"
thank,"Thanks"
pay_success,"Payment successfully completed"
bonuses,"Bonuses"
info_success,"Deposit via BonusPay and with permanent bonuses💰"
bill,"Receipt"
menu,"Pay more"
pay_deny,"Payment declined"
info_deny,"Something went wrong, you can try to pay again or contact the manager to solve the problem"
support,"Support"
tgpay_description,"Balance deposit"
pay_sum,"Deposit sum"
pay_type,"Select a Payment Method"
add_card,"Add a card"
enter_card,"Enter card data"
card_num,"Your card number"
card_terms,"Expiration"
next,"Next"
account-validity,"Your account is NOT valid"
