bonus,"Бонус"
card_button,"Поповнити"
card_description,"Давно з'ясовано, що при оцінці дизайну та композиції читаний текст заважає"
account_id,"ID акаунта"
sum,"Сума"
signup_helper,"Немає акаунта?"
signup_link,"Зареєструйтесь"
thank,"Дякую"
pay_success,"Платіж успішно проведено"
bonuses,"Бонусів"
info_success,"Поповнюйте через BonusPay та з постійними бонусами💰"
bill,"Квитанція"
menu,"Поповнити ще"
pay_deny,"Платіж відхилений"
info_deny,"Щось пішло не так, Ви можете спробувати сплатити повторно або звернутися до менеджера для вирішення проблеми"
support,"Підтримка"
tgpay_description,"Поповнення балансу"
pay_sum,"Сума поповнення"
pay_type,"Оберіть спосіб оплати"
add_card,"Додати карту"
enter_card,"Введіть данні карти"
card_num,"Номер вашої карти"
card_terms,"Строк дії"
next,"Далі"
account-validity,"Ваш аккаунт НЕ валідний"
